FinInstrmGnlAttrbts.Id,FinInstrmGnlAttrbts.FullNm,FinInstrmGnlAttrbts.ClssfctnTp,FinInstrmGnlAttrbts.CmmdtyDerivInd,FinInstrmGnlAttrbts.NtnlCcy,Issr
EZV1JDJ1R5Q9,Foreign_Exchange Forward JPY SEK 20210116,JFTXFP,FALSE,SEK,2138004TYNQCB7MLTG76
EZV4N4MHR6R0,Foreign_Exchange Forward CAD GBP 20210116,JFTXFP,FALSE,GBP,2138004TYNQCB7MLTG76
EZV51K6FBPB6,Rates Swap Fixed_Float EUR-EURIBOR-Reuters 3 MNTH 20210116,SRCCSP,FALSE,EUR,3IOL70HIEQ2FWND3JI79
EZV8QY62F100,Foreign_Exchange Forward AUD SEK 20210116,JFTXFP,FALSE,SEK,2138004TYNQCB7MLTG76
EZV9QCSPFHR0,Foreign_Exchange Forward GBP USD 20210116,JFTXFP,FALSE,GBP,2138004TYNQCB7MLTG76
EZV9QCSPFHR0,Foreign_Exchange Forward GBP USD 20210116,JFTXFP,FALSE,GBP,2138004TYNQCB7MLTG76
EZV9QCSPFHR0,Foreign_Exchange Forward GBP USD 20210116,JFTXFP,FALSE,GBP,2138004TYNQCB7MLTG76
EZVFD5W7NCP9,Foreign_Exchange Forward DKK EUR 20210116,JFTXFP,FALSE,EUR,2138004TYNQCB7MLTG76
EZVGNMRFJ5T4,Foreign_Exchange Forward HKD JPY 20210116,JFTXFP,FALSE,HKD,2138004TYNQCB7MLTG76
EZVHVPWN6MF5,Foreign_Exchange Forward CAD NZD 20210116,JFTXFP,FALSE,NZD,2138004TYNQCB7MLTG76
EZVJ4S0VLHT0,Foreign_Exchange Forward RUB USD 20210116,JFTXFP,FALSE,USD,2138004TYNQCB7MLTG76
EZVLTNQ077N1,Foreign_Exchange Forward DKK USD 20210116,JFTXFP,FALSE,USD,2138004TYNQCB7MLTG76
EZVR3VK2RLD9,Foreign_Exchange Forward CZK GBP 20210116,JFTXFP,FALSE,GBP,2138004TYNQCB7MLTG76
EZVVSRHRCXZ0,Foreign_Exchange Forward BHD USD 20210116,JFTXFP,FALSE,USD,2138004TYNQCB7MLTG76
EZWQ5BZQ5B61,Rates Swap Fixed_Float_OIS 10 MNTH EUR-EuroSTR-COMPOUND 1 DAYS 20210116,SRHCSP,FALSE,EUR,724500D4BFEWKWVC1G62
